decision_id	authority	planned_checkpoint
EQM-080	docs/specification/protocol.md	step_072
EQM-081	docs/specification/evaluation.md	step_071
EQM-082	docs/specification/evaluation.md	step_072
EQM-083	docs/specification/evaluation.md	step_073
EQM-084	docs/specification/evaluation.md	step_074
EQM-085	docs/specification/evaluation.md	step_066
EQM-086	docs/specification/schema-inventory.md	step_051
EQM-087	docs/specification/cli.md	step_091
EQM-088	docs/specification/cli.md	step_109
EQM-089	docs/specification/cli.md	step_091
EQM-090	docs/specification/cli.md	step_092
EQM-091	docs/specification/cli.md	step_092
EQM-092	docs/specification/protocol.md	step_033
EQM-093	docs/specification/cli.md	step_091
EQM-094	docs/specification/cli.md	step_092
EQM-095	docs/specification/protocol.md	step_040
EQM-096	docs/specification/protocol.md	step_033
EQM-097	docs/specification/security-and-limits.md	step_125
EQM-098	docs/specification/security-and-limits.md	step_125
EQM-099	docs/specification/cli.md	step_097
EQM-100	docs/specification/protocol.md	step_112
EQM-101	docs/specification/protocol.md	step_115
EQM-102	docs/specification/cli.md	step_116
EQM-103	docs/specification/architecture.md	step_003
EQM-104	docs/specification/architecture.md	step_004
EQM-105	docs/specification/architecture.md	step_003
EQM-106	docs/specification/architecture.md	step_112
EQM-107	docs/specification/architecture.md	step_128
EQM-108	docs/specification/acceptance.md	step_123
EQM-109	docs/specification/architecture.md	step_011
EQM-110	docs/specification/architecture.md	step_079
EQM-111	docs/specification/architecture.md	step_035
EQM-112	docs/specification/canonicalization.md	step_123
EQM-113	docs/specification/acceptance.md	step_134
EQM-114	docs/specification/security-and-limits.md	step_130
EQM-115	docs/specification/architecture.md	step_123
EQM-116	docs/specification/acceptance.md	step_128
EQM-117	docs/specification/security-and-limits.md	step_125
EQM-118	docs/specification/security-and-limits.md	step_062
EQM-119	docs/specification/security-and-limits.md	step_124
EQM-120	docs/specification/security-and-limits.md	step_125
EQM-121	docs/specification/security-and-limits.md	step_111
EQM-122	docs/specification/security-and-limits.md	step_125
EQM-123	docs/specification/security-and-limits.md	step_130
EQM-124	docs/specification/security-and-limits.md	step_128
EQM-125	docs/specification/acceptance.md	step_132
EQM-126	docs/specification/acceptance.md	step_128
EQM-127	docs/specification/acceptance.md	step_117
EQM-128	docs/specification/canonicalization.md	step_055
EQM-129	docs/specification/protocol.md	step_122
EQM-130	docs/specification/evaluation.md	step_123
EQM-131	docs/specification/security-and-limits.md	step_125
EQM-132	docs/specification/protocol.md	step_119
EQM-133	docs/specification/acceptance.md	step_131
EQM-134	docs/specification/acceptance.md	step_131
EQM-135	docs/specification/security-and-limits.md	step_126
EQM-136	docs/specification/acceptance.md	step_134
EQM-137	docs/specification/cli.md	step_128
EQM-138	docs/specification/decision-register.md	step_129
EQM-139	docs/specification/product.md	step_121
EQM-140	docs/specification/product.md	step_133
